distance_to_cell_km,rsrp_dbm,rssi_dbm,rsrq_db,sinr_db,interference_dbm,network_load_pct,connected_users,handovers_last_hr,signal_quality_score,signal_quality_label
0.502,-94.82,-77.02,-18.09,-2.99,-96.36,42.18,44.0,5,30.06,Poor
0.516,-99.58,-82.66,-16.04,-3.4,-100.3,40.03,41.0,3,37.48,Fair
0.17,-88.24,-67.51,-19.5,9.43,-96.77,60.17,69.0,3,42.7,Fair
0.064,-74.24,-60.68,-14.18,20.9,-100.04,54.95,51.0,1,56.77,Good
0.45,-94.03,-83.61,-10.95,8.67,-105.91,19.67,24.0,1,57.07,Good
0.062,-84.92,-63.45,-19.5,3.92,-91.76,75.03,,1,30.31,Poor
0.389,-98.11,-82.61,-16.19,-10.0,-89.72,68.58,60.0,1,33.53,Poor
0.532,-93.51,-72.92,-19.5,-2.83,-93.3,45.89,48.0,3,36.72,Fair
0.543,-98.14,-80.0,-16.73,-9.25,-96.95,38.86,44.0,2,36.32,Fair
0.63,-104.6,-90.09,-15.92,-10.0,-97.57,51.77,65.0,3,27.13,Poor
0.928,-106.64,-86.82,-19.5,-4.82,-107.74,45.14,55.0,0,27.88,Poor
0.312,-91.09,-74.32,-17.98,-2.82,-96.87,57.11,70.0,1,36.13,Fair
0.59,-95.45,-80.68,-15.08,6.73,-107.01,13.8,30.0,2,48.56,Fair
0.434,-96.71,-81.86,-15.32,-6.55,-95.89,55.72,56.0,3,33.46,Poor
0.093,-73.56,-60.76,-13.36,24.58,-103.0,18.56,29.0,1,67.26,Good
0.02,-67.15,-47.94,-18.94,30.0,-104.71,27.43,32.0,0,73.27,Good
0.151,-88.59,-73.4,-14.85,9.03,-103.85,22.22,34.0,1,50.52,Fair
0.263,-95.71,-77.81,-18.22,-3.1,-95.12,62.26,49.0,2,29.03,Poor
0.432,-100.63,-83.17,-16.93,-10.0,-86.76,78.82,70.0,1,17.71,Poor
0.854,-101.29,-86.12,-13.82,-3.2,-102.95,21.9,36.0,3,34.52,Poor
0.098,-85.89,-72.46,-12.07,9.06,-102.29,28.18,34.0,0,53.04,Fair
0.06,-73.06,-47.46,-19.5,30.0,-109.72,6.55,25.0,1,62.51,Good
1.489,-101.6,-83.75,-17.49,-10.0,-92.94,69.38,66.0,4,23.48,Poor
0.051,-75.86,-52.39,-19.5,23.48,-101.67,12.08,30.0,0,58.6,Good
0.293,-98.08,-76.59,-19.5,1.36,-101.62,33.0,33.0,1,33.06,Poor
0.396,-98.67,-81.64,-17.72,6.8,-108.2,20.58,35.0,2,39.64,Fair
0.351,-89.9,-71.36,-18.98,-2.23,-94.87,43.32,50.0,4,28.01,Poor
0.04,-78.61,-60.15,-17.28,12.33,-91.26,58.3,51.0,1,42.42,Fair
0.026,-68.27,-44.74,-19.5,30.0,-103.82,34.47,52.0,0,70.59,Good
0.05,-76.28,-55.79,-19.5,22.47,-100.47,31.48,38.0,1,57.12,Good
0.396,-95.78,-80.2,-15.95,-4.96,-92.8,64.56,63.0,5,30.71,Poor
0.354,-97.81,-78.75,-18.39,5.35,-110.37,20.88,30.0,4,42.56,Fair
0.12,-86.02,-65.61,-19.5,14.86,-106.43,10.71,26.0,3,48.62,Fair
0.457,-96.46,-81.98,-16.02,-1.22,-100.9,40.52,37.0,3,34.95,Poor
0.772,-97.63,-78.15,-19.5,-2.64,-100.09,31.55,39.0,2,29.4,Poor
0.02,-73.99,-51.95,-19.5,16.31,-95.2,46.53,52.0,1,50.38,Fair
0.31,-94.91,-79.49,-15.22,0.78,-100.6,27.16,39.0,1,41.58,Fair
0.526,-98.26,-82.42,-16.36,-2.83,-100.35,60.04,56.0,0,26.78,Poor
0.131,-83.75,-62.27,-19.5,12.35,-101.19,19.78,29.0,1,46.08,Fair
0.166,-92.06,-75.13,-17.49,8.49,-106.37,30.64,36.0,1,44.43,Fair
0.428,-101.91,-86.86,-14.76,-3.31,-102.85,34.94,40.0,1,26.78,Poor
1.027,-101.54,-80.9,-19.5,-0.49,-107.15,15.82,32.0,4,36.51,Fair
0.747,-107.55,-87.82,-19.5,-10.0,-93.26,47.02,55.0,5,21.18,Poor
0.394,-90.79,-72.5,-17.82,-3.99,-92.07,72.01,57.0,1,21.89,Poor
0.59,-100.05,-78.68,-19.5,-6.23,-101.68,20.94,30.0,0,20.85,Poor
0.204,-96.44,-74.85,-19.5,-5.48,-92.7,72.97,63.0,2,19.94,Poor
0.461,-99.21,-81.46,-17.23,-5.45,-100.62,36.07,44.0,1,23.66,Poor
0.282,-91.53,-67.61,-19.5,7.24,-104.66,18.35,23.0,0,52.2,Fair
0.095,-85.76,-63.01,-19.5,8.08,-97.53,47.01,45.0,1,41.9,Fair
0.544,-98.65,-86.61,-12.59,0.14,-103.12,11.3,20.0,1,43.08,Fair
0.366,-92.33,-77.42,-14.51,9.98,-108.58,11.62,33.0,2,49.88,Fair
0.2,-90.87,,-11.97,7.45,-102.09,30.65,35.0,2,53.57,Fair
1.09,-108.51,-91.48,-17.78,-10.0,-100.84,11.34,37.0,4,29.05,Poor
0.02,-71.64,-57.27,-15.42,28.14,-102.73,0.87,18.0,0,71.99,Good
0.171,-83.04,-67.48,-14.42,24.29,-109.81,18.52,44.0,2,61.1,Good
0.026,-66.0,-44.73,-19.5,30.0,-105.4,14.6,33.0,2,76.65,Excellent
0.655,-108.41,-95.68,-13.71,-10.0,-97.13,45.04,40.0,1,24.97,Poor
0.545,-94.38,-75.99,-17.92,1.26,-107.09,13.28,31.0,1,37.5,Fair
0.181,-88.21,-69.84,-18.85,9.86,-99.95,42.03,42.0,3,40.98,Fair
0.507,-94.42,-76.66,-16.9,-6.96,-91.64,59.54,43.0,2,27.33,Poor
0.227,-93.35,-74.96,-19.3,-3.23,-93.54,49.08,46.0,0,36.22,Fair
0.635,-107.15,-95.84,-11.86,-10.0,-90.49,82.85,66.0,2,24.5,Poor
0.272,-90.4,-74.83,-15.48,-4.5,-90.77,58.08,52.0,5,35.72,Fair
0.239,-95.37,-72.75,-19.5,-3.58,-100.52,57.02,48.0,4,28.57,Poor
1.228,-111.35,-96.94,-15.64,-10.0,-100.08,42.65,50.0,1,25.77,Poor
0.13,-91.62,-68.62,-19.5,-0.2,-97.72,45.52,38.0,1,29.96,Poor
0.058,-76.98,-63.2,-12.2,15.92,-99.4,48.59,60.0,2,60.8,Good
0.395,-95.4,-81.98,-14.35,-1.97,-98.07,25.92,40.0,3,44.94,Fair
1.568,-104.78,-89.64,-15.39,-2.83,-108.7,4.3,24.0,2,41.93,Fair
0.214,-87.95,-66.57,-19.5,6.42,-99.47,58.27,51.0,4,32.69,Poor
0.029,-75.17,-58.81,-16.39,17.05,-98.6,44.89,,5,57.58,Good
0.187,-89.74,-70.71,-18.45,-2.7,-91.71,61.34,51.0,3,39.25,Fair
0.317,-96.1,-77.88,-18.22,0.19,-98.47,44.87,38.0,1,34.8,Poor
0.079,-82.96,-65.12,-18.94,14.68,-102.57,21.66,38.0,2,49.91,Fair
0.483,-101.57,-79.74,-19.5,-10.0,-90.92,71.34,74.0,1,9.13,Poor
2.743,-111.21,-90.89,-19.28,-9.39,-107.07,16.35,33.0,2,25.51,Poor
0.27,-88.37,-73.8,-13.72,7.87,-101.5,17.16,37.0,0,53.66,Fair
0.197,-93.21,-76.03,-17.09,0.34,-102.32,50.19,55.0,2,36.03,Fair
0.23,-86.16,-62.93,-19.5,19.19,-107.15,27.38,35.0,2,52.07,Fair
0.055,-78.52,-59.56,-18.26,17.15,-100.73,59.85,57.0,0,50.62,Fair
0.967,-102.75,-89.27,-13.13,-7.06,-97.75,43.85,43.0,4,26.44,Poor
0.241,-98.48,-84.79,-12.52,-8.28,-93.63,78.86,65.0,3,27.78,Poor
0.22,-98.13,-77.46,-19.5,0.74,-103.97,37.21,37.0,6,29.63,Poor
0.485,-97.16,-77.05,-18.24,-0.16,-104.67,37.4,44.0,2,32.8,Poor
0.263,-89.26,-74.02,-15.48,15.33,-108.65,12.1,35.0,4,48.67,Fair
0.47,-100.15,-79.91,-19.26,0.68,-106.62,26.58,43.0,1,38.29,Fair
0.029,-66.73,-43.93,-19.5,20.75,-91.92,53.24,46.0,3,61.32,Good
0.756,-98.64,,-19.5,-2.49,-102.63,34.09,48.0,1,31.79,Poor
1.27,-109.72,-86.9,-19.5,-10.0,-89.71,83.78,70.0,3,11.78,Poor
0.471,-97.35,-77.69,-18.69,-3.56,-101.89,28.1,32.0,4,38.15,Fair
1.391,-96.97,-79.5,-17.7,-1.21,-101.96,36.74,43.0,3,34.48,Poor
0.074,-86.46,-69.67,-16.94,9.18,-101.82,39.28,41.0,0,40.8,Fair
0.292,-91.23,-73.28,-16.09,11.27,-107.66,13.3,31.0,0,53.78,Fair
0.414,-97.66,-82.29,-17.78,-6.22,-100.89,28.47,53.0,2,30.72,Poor
0.392,-93.07,-76.14,-15.23,-5.82,-92.96,61.75,64.0,7,32.09,Poor
0.231,-86.24,-64.41,-19.5,5.05,-96.1,55.24,49.0,3,36.23,Fair
0.186,-90.97,-77.79,-12.95,3.56,-102.17,58.28,53.0,1,45.92,Fair
0.061,-75.38,-62.0,-12.37,23.28,-105.55,22.6,23.0,3,66.0,Good
0.224,-82.15,-61.66,-19.5,19.15,-104.46,29.02,47.0,1,49.41,Fair
0.08,-81.89,-64.94,-19.23,5.45,-94.31,42.06,43.0,1,42.63,Fair
0.597,-96.39,-84.16,-13.15,7.38,-106.91,14.12,27.0,6,49.78,Fair
0.105,-86.9,-69.09,-16.5,-3.68,-89.74,63.28,55.0,0,39.0,Fair
0.027,-72.91,-55.53,-19.42,26.66,-102.33,33.77,37.0,2,57.43,Good
0.362,-95.9,-79.19,-16.58,0.51,-101.54,19.13,35.0,0,37.76,Fair
0.407,-93.03,-72.97,-19.5,-3.69,-96.24,58.91,58.0,5,30.57,Poor
0.925,-98.51,-84.51,-13.79,0.74,-104.38,35.71,31.0,2,34.96,Poor
0.387,-96.22,-78.18,-19.5,2.49,-102.03,37.6,36.0,0,34.37,Poor
0.191,-83.52,-66.15,-16.61,15.19,-99.52,59.84,48.0,3,55.19,Good
0.731,-95.17,-77.06,-17.02,-7.11,-92.74,64.32,58.0,2,24.96,Poor
0.35,-91.51,-78.71,-10.07,10.58,-108.59,14.65,28.0,2,57.38,Good
0.037,-77.7,-61.27,-18.74,11.14,-95.76,42.9,54.0,1,46.66,Fair
0.375,-97.96,-79.9,-19.5,-6.57,-99.16,37.2,41.0,3,22.04,Poor
1.074,-107.88,-88.25,-19.5,-6.07,-106.82,20.37,41.0,3,28.37,Poor
0.227,-87.37,-63.83,-19.5,11.12,-104.53,38.13,29.0,0,48.92,Fair
0.158,-92.88,-72.47,-19.5,8.83,-105.51,30.12,42.0,0,42.4,Fair
0.07,-78.28,-58.9,-18.97,13.0,-94.55,41.16,43.0,4,47.76,Fair
0.074,-85.81,-64.0,-19.5,23.28,-111.25,13.71,29.0,4,55.98,Good
0.255,-88.88,-71.79,-18.3,11.28,-106.01,30.14,35.0,3,41.29,Fair
0.407,-96.15,-73.49,-19.5,4.67,-106.66,44.57,54.0,2,31.06,Poor
0.038,-70.45,-49.09,-19.5,30.0,-106.92,13.46,22.0,2,72.95,Good
1.263,-101.47,-84.81,-17.19,-10.0,-93.78,61.37,68.0,4,26.67,Poor
0.633,-94.3,-70.53,-19.5,4.93,-103.37,26.2,44.0,3,36.85,Fair
0.398,-90.17,-70.83,-19.5,0.72,-100.37,20.03,36.0,2,45.79,Fair
0.793,-101.42,-76.85,-19.5,-8.44,-96.27,55.9,51.0,2,26.12,Poor
0.038,-80.37,-61.46,-18.43,17.15,-102.17,23.48,45.0,1,62.29,Good
0.292,-97.53,-81.22,-17.02,-4.77,-97.1,28.5,44.0,0,29.9,Poor
0.448,-105.38,-89.69,-16.68,-10.0,-93.29,57.6,61.0,3,32.03,Poor
0.794,-106.34,-89.41,-17.81,-10.0,-99.37,26.46,26.0,1,18.19,Poor
0.689,-100.5,-84.21,-15.78,-2.6,-100.51,37.11,33.0,3,33.46,Poor
0.146,-89.58,-67.77,-19.5,10.63,-101.42,35.81,40.0,0,44.15,Fair
1.273,-106.82,-88.91,-18.33,-10.0,-96.5,44.39,35.0,5,23.15,Poor
0.06,-77.7,-64.54,-14.11,27.44,-107.39,13.31,25.0,1,61.39,Good
0.936,-104.65,,-17.69,-10.0,-96.86,55.5,56.0,2,20.5,Poor
1.592,-112.53,-94.16,-19.49,-6.84,-111.94,2.12,18.0,3,27.15,Poor
0.088,-83.18,-66.58,-15.73,14.78,-103.93,19.73,30.0,1,63.14,Good
0.576,-102.82,-84.02,-18.01,-1.82,-103.45,46.7,38.0,0,31.98,Poor
0.02,-71.53,-53.66,-17.63,30.0,-106.97,32.15,41.0,3,62.27,Good
0.234,-86.05,-66.15,-19.38,8.36,-101.92,22.71,31.0,1,44.94,Fair
0.327,-95.39,-75.67,-19.5,3.77,-103.84,20.84,36.0,3,28.49,Poor
0.391,-88.78,-69.69,-19.47,11.59,-107.65,28.48,31.0,0,47.21,Fair
1.237,-100.12,-86.02,-14.39,8.95,-109.7,8.58,33.0,2,47.27,Fair
0.502,-100.35,-75.99,-19.5,1.23,-106.05,21.41,42.0,3,33.96,Poor
0.295,-97.88,-84.55,-14.77,-4.66,-96.72,63.18,58.0,2,26.89,Poor
0.747,-101.68,-84.07,-17.13,-10.0,-94.27,49.26,43.0,1,28.76,Poor
1.353,-102.02,-87.3,-13.96,-5.86,-99.86,30.33,40.0,3,43.15,Fair
0.02,-72.41,-53.22,-18.83,12.06,-92.88,69.76,59.0,0,50.41,Fair
1.821,-105.58,-87.16,-17.36,-10.0,-85.46,74.73,67.0,2,16.43,Poor
0.041,-71.53,-54.04,-17.52,30.0,-103.54,40.21,44.0,1,60.65,Good
0.758,-104.7,-82.15,-19.5,-10.0,-89.36,85.46,63.0,0,12.37,Poor
0.148,-90.17,-68.84,-19.5,12.88,-106.99,12.24,28.0,2,48.94,Fair
0.064,-77.38,-60.36,-18.25,6.58,-90.25,85.09,86.0,2,38.18,Fair
0.261,-91.75,-71.34,-19.5,9.55,-106.58,43.9,41.0,3,40.04,Fair
0.465,-100.11,-77.41,-19.5,-1.08,-103.15,38.14,53.0,1,33.31,Poor
0.216,-92.13,-70.83,-19.5,3.32,-104.23,3.86,19.0,0,38.95,Fair
0.025,-72.66,-55.07,-17.64,15.1,-93.46,61.84,45.0,2,50.31,Fair
0.412,-102.57,-89.34,-12.84,-10.0,-97.46,40.11,39.0,3,28.4,Poor
1.047,-101.35,-82.37,-18.31,-8.85,-98.39,26.88,40.0,3,28.79,Poor
0.217,-92.7,-72.7,-19.5,13.78,-109.58,16.56,27.0,3,50.66,Fair
0.11,-96.02,-80.33,-15.7,2.77,-102.42,9.42,27.0,1,45.47,Fair
0.263,-92.53,-74.46,-16.97,3.87,-104.35,27.75,26.0,2,39.87,Fair
0.022,-74.32,-56.56,-16.85,,-101.16,27.39,46.0,3,59.28,Good
0.773,-95.02,-72.86,-19.5,-10.0,-84.85,88.62,63.0,2,14.71,Poor
0.788,-104.28,-80.72,-19.5,-1.01,-105.74,21.45,34.0,6,32.32,Poor
0.399,-100.43,-78.91,-19.5,-7.86,-96.39,55.65,49.0,4,24.65,Poor
0.196,-87.86,-70.11,-18.1,,-98.34,47.98,49.0,2,35.49,Fair
0.724,-103.85,-82.4,-19.5,-0.29,-107.36,24.03,37.0,1,29.99,Poor
0.364,-98.36,-78.42,-19.37,-9.09,-97.23,61.2,54.0,2,23.58,Poor
0.787,-99.89,-82.11,-17.16,-10.0,-93.51,63.82,53.0,1,22.39,Poor
0.449,-101.23,-76.95,-19.5,5.82,-109.6,23.2,46.0,1,39.52,Fair
0.69,-106.62,-90.84,-14.64,-1.35,-107.97,11.86,22.0,1,37.12,Fair
0.411,-89.39,-69.58,-19.5,-4.1,-88.49,88.38,75.0,2,24.67,Poor
0.241,-89.34,-68.83,-19.5,-0.45,-97.29,57.73,58.0,0,38.89,Fair
1.426,-108.15,-91.01,-17.31,-10.0,-95.86,41.43,44.0,3,21.61,Poor
0.351,-94.93,-75.26,-17.55,-1.67,-95.45,50.91,51.0,2,31.21,Poor
0.418,-94.42,,-19.5,-0.89,-98.0,47.24,47.0,3,26.29,Poor
0.112,-81.18,-62.44,-18.5,-2.15,-85.15,80.12,73.0,2,33.61,Poor
0.442,-99.96,-80.54,-19.5,-2.38,-101.18,32.92,34.0,2,29.06,Poor
0.381,-94.19,-75.87,-18.8,-3.38,-99.11,53.56,55.0,2,28.02,Poor
0.092,-85.39,-65.0,-19.2,10.17,-100.94,37.44,50.0,1,41.89,Fair
0.028,-73.9,-56.58,-18.98,21.48,-102.26,38.25,42.0,2,63.62,Good
0.417,-95.79,-78.72,-17.59,-3.28,-100.06,49.68,52.0,5,37.23,Fair
0.649,-100.29,-82.23,-19.5,-1.16,-103.22,22.94,37.0,0,32.55,Poor
0.333,-91.55,-69.99,-19.5,-2.96,-97.71,30.94,38.0,4,34.05,Poor
0.116,-83.4,-70.64,-12.82,12.25,-101.09,22.84,35.0,2,60.75,Good
0.494,-103.93,,-15.02,-10.0,-92.88,71.16,70.0,3,22.84,Poor
0.038,-81.16,-56.33,-19.5,13.71,-100.21,35.47,36.0,3,41.86,Fair
0.262,-93.89,-75.07,-19.5,9.81,-108.6,11.77,19.0,2,41.2,Fair
0.08,-74.88,-58.1,-16.75,22.65,-101.01,23.35,34.0,2,62.82,Good
0.092,-86.75,-66.37,-17.95,8.57,-101.99,27.14,29.0,2,46.96,Fair
0.102,-85.06,-69.42,-16.29,4.22,-94.55,62.99,54.0,4,44.67,Fair
0.22,-93.03,-81.34,-9.6,1.58,-99.08,30.52,39.0,3,45.38,Fair
0.024,-74.04,-54.98,-19.21,26.93,-105.18,19.0,36.0,3,59.7,Good
0.228,-90.49,-74.68,-17.28,12.99,-108.42,14.65,30.0,2,50.93,Fair
0.323,-88.6,-70.29,-16.78,4.0,-99.07,23.26,43.0,2,52.21,Fair
0.297,-91.66,-72.68,-18.11,-6.2,-91.79,72.96,67.0,2,21.58,Poor
0.217,-93.99,-75.56,-17.99,-1.4,-101.52,41.12,40.0,2,31.78,Poor
0.822,-91.3,-78.42,-13.35,9.46,-105.64,12.03,31.0,3,51.35,Fair
0.071,-80.79,-62.71,-17.14,27.91,-112.41,17.84,30.0,1,69.85,Good
0.317,-96.36,-77.03,-17.8,-2.04,-99.75,37.67,42.0,1,28.91,Poor
0.029,-67.84,-54.04,-14.74,25.88,-100.43,17.63,32.0,2,71.4,Good
0.033,-76.56,-63.12,-14.4,19.79,-102.65,14.81,32.0,3,69.38,Good
0.384,-89.05,-74.26,-16.73,-4.26,-90.47,65.6,61.0,1,31.93,Poor
0.376,-99.0,-78.76,-19.5,-8.89,-95.82,49.08,57.0,1,22.23,Poor
0.947,-97.81,-85.81,-9.85,-2.61,-98.19,32.97,39.0,2,41.33,Fair
0.367,-94.52,-74.03,-18.82,2.61,-103.17,31.67,35.0,1,43.59,Fair
1.446,-102.05,-82.87,-19.5,-1.49,-104.39,14.18,32.0,3,34.66,Poor
0.022,-63.8,-46.57,-18.11,26.49,-95.12,54.5,41.0,3,64.02,Good
0.046,-82.05,-68.49,-11.9,12.29,-99.45,29.43,29.0,0,54.46,Fair
0.02,-65.46,-49.85,-15.3,28.15,-98.33,61.06,47.0,3,66.33,Good
0.092,-89.02,-68.68,-19.5,9.74,-104.95,15.02,38.0,3,43.95,Fair
0.351,-99.11,-77.34,-19.5,0.27,-103.74,21.14,24.0,2,28.08,Poor
0.467,-100.61,-85.71,-17.14,-7.88,-96.8,39.52,,4,18.46,Poor
0.021,-68.83,-47.41,-19.5,30.0,-113.02,9.75,29.0,4,72.85,Good
1.313,-106.24,-86.18,-19.5,-10.0,-101.59,34.98,30.0,1,17.12,Poor
0.831,-103.07,-85.09,-16.42,0.61,-107.58,15.12,31.0,3,37.46,Fair
0.158,-87.46,-71.67,-17.0,7.0,-103.33,29.3,37.0,2,42.85,Fair
0.036,-73.03,-56.78,-17.25,12.96,-91.54,56.75,38.0,2,55.13,Good
0.084,-79.89,-56.42,-19.5,15.19,-98.6,16.52,29.0,1,47.44,Fair
0.061,-75.48,-56.95,-17.03,18.69,-99.18,24.38,40.0,4,56.71,Good
0.059,-72.31,-50.32,-19.5,20.31,-97.79,48.43,55.0,1,57.39,Good
0.329,-94.45,-75.73,-17.51,5.72,-103.73,37.3,51.0,0,42.07,Fair
0.127,-88.23,-71.58,-16.42,13.66,-105.1,12.64,21.0,3,54.23,Fair
0.2,-87.59,-67.84,-18.89,5.12,-100.26,16.53,24.0,1,46.3,Fair
2.051,-114.82,-90.35,-19.5,-10.0,-104.85,20.46,34.0,4,23.61,Poor
0.519,-101.03,-84.96,-16.24,-10.0,-90.44,55.98,62.0,2,25.9,Poor
1.339,-102.54,-81.8,-19.5,6.43,-108.73,31.18,36.0,3,35.25,Fair
0.069,-81.42,-62.85,-18.34,9.87,-96.69,44.44,57.0,3,46.55,Fair
0.217,-95.59,-81.94,-14.14,-0.13,-98.4,37.8,43.0,2,35.69,Fair
0.364,-101.21,-87.62,-14.05,-4.56,-99.65,25.11,47.0,1,37.62,Fair
0.036,-75.15,-58.51,-15.46,13.92,-94.71,60.72,62.0,1,45.13,Fair
0.02,-65.88,-46.83,-18.18,30.0,-101.92,39.64,41.0,5,69.7,Good
0.499,-93.47,-72.84,-19.5,-0.13,-96.39,39.93,56.0,0,37.37,Fair
0.462,-96.87,-83.58,-11.41,,-106.28,53.37,53.0,2,44.2,Fair
0.238,-83.53,-63.58,-19.5,15.35,-105.83,30.57,41.0,4,45.6,Fair
0.303,-94.07,-76.42,-19.5,7.18,-104.85,21.45,31.0,0,40.36,Fair
0.242,-92.25,-74.24,-18.27,-1.98,-98.55,45.31,51.0,0,33.35,Poor
0.02,-80.71,-60.95,-19.5,10.12,-92.67,50.27,50.0,4,41.68,Fair
0.184,-91.13,-67.89,-19.5,4.25,-98.55,29.36,22.0,2,33.62,Poor
0.088,-79.55,-60.64,-19.5,22.38,-103.09,28.8,42.0,3,54.98,Fair
0.047,-71.3,-57.37,-13.49,30.0,-114.28,3.92,29.0,1,80.25,Excellent
1.413,-110.33,-92.89,-18.13,-10.0,-101.29,35.09,32.0,4,32.57,Poor
0.412,-94.46,-73.91,-19.5,,-100.26,42.63,52.0,0,25.58,Poor
0.587,-95.2,,-19.5,6.86,-106.06,26.19,32.0,2,34.72,Poor
0.17,-88.64,-68.64,-19.5,7.64,-100.2,47.7,49.0,0,39.08,Fair
0.225,-100.21,-83.74,-17.46,-4.59,-99.07,36.15,35.0,0,27.04,Poor
0.122,-84.79,-70.89,-12.69,12.33,-103.2,31.58,39.0,2,55.61,Good
0.046,-74.38,-54.61,-19.48,20.28,-98.41,44.03,51.0,1,61.53,Good
0.089,-86.85,-72.5,-14.21,14.51,-108.65,19.39,30.0,1,58.72,Good
0.719,-102.16,-82.08,-19.5,-10.0,-97.7,47.44,42.0,0,19.03,Poor
0.509,-102.78,-82.7,-19.5,-6.31,-100.39,28.85,39.0,0,26.62,Poor
0.356,-105.34,-88.74,-17.82,-6.97,-100.8,24.17,24.0,0,26.67,Poor
0.29,-89.17,-71.51,-16.57,-2.25,-91.58,59.26,47.0,2,32.0,Poor
1.15,-105.24,-86.64,-19.5,-10.0,-95.6,68.35,52.0,3,16.71,Poor
0.034,-68.49,-52.33,-17.43,21.91,-98.58,31.83,29.0,2,63.12,Good
0.148,-84.05,-70.19,-12.52,16.23,-102.42,47.28,63.0,2,58.96,Good
0.194,-91.21,-73.33,-19.41,2.72,-100.54,71.16,60.0,4,32.42,Poor
0.686,-101.08,-82.88,-17.16,-3.19,-100.75,37.81,34.0,2,29.57,Poor
2.203,-108.6,-86.52,-19.5,-10.0,-93.12,53.68,51.0,7,16.66,Poor
0.124,-82.06,-66.41,-16.26,11.26,-100.89,50.47,44.0,0,41.29,Fair
0.933,-102.12,-80.91,-19.5,-2.0,-103.84,33.09,47.0,2,26.58,Poor
0.799,-97.64,-83.08,-14.79,,-105.94,25.43,29.0,0,34.31,Poor
0.115,-86.44,-72.47,-13.26,11.71,-103.8,4.01,19.0,3,59.81,Good
0.229,-95.24,-78.14,-17.08,-5.06,-94.54,49.7,52.0,0,30.27,Poor
0.237,-91.8,-76.62,-15.91,-6.44,-90.87,73.84,66.0,0,21.42,Poor
1.722,-107.91,-93.98,-14.04,-10.0,-101.44,47.37,55.0,2,33.37,Poor
0.09,-87.97,-64.13,-19.5,9.26,-104.31,30.45,38.0,3,43.5,Fair
0.722,-106.53,-89.89,-15.82,-8.21,-102.01,12.13,26.0,1,31.38,Poor
0.183,-87.51,-62.57,-19.5,2.0,-98.29,46.63,43.0,2,35.28,Fair
0.591,-101.07,-86.05,-14.76,-8.95,-97.34,50.93,42.0,1,22.92,Poor
0.245,-92.49,-79.61,-13.03,-0.56,-97.05,49.18,53.0,0,42.02,Fair
0.389,-97.25,-75.38,-19.5,6.99,-109.16,6.62,28.0,0,43.12,Fair
0.804,-96.04,-80.22,-16.74,1.9,-104.98,6.34,31.0,2,38.24,Fair
0.734,-96.28,-77.86,-19.5,9.17,-108.91,4.28,16.0,6,46.27,Fair
0.906,-108.1,-94.17,-14.52,-3.14,-109.09,15.29,34.0,0,36.81,Fair
0.028,-75.28,-57.39,-16.27,17.7,-99.98,45.65,54.0,1,55.53,Good
0.53,-95.1,-81.22,-14.65,4.56,-103.53,31.72,32.0,2,48.37,Fair
0.068,-78.35,-60.57,-16.93,21.16,-104.95,22.15,31.0,3,60.43,Good
0.242,-91.87,-75.3,-17.43,0.72,-97.82,47.28,43.0,1,35.77,Fair
0.358,-99.65,-80.96,-19.19,-1.5,-102.25,42.17,43.0,1,40.05,Fair
0.232,-94.07,-74.2,-19.5,5.82,-104.06,40.49,53.0,3,41.33,Fair
0.33,-96.46,-77.74,-17.68,3.22,-107.99,5.5,24.0,1,44.96,Fair
2.548,-111.02,-91.67,-18.83,-10.0,-99.67,31.88,44.0,4,28.32,Poor
0.065,-73.63,-55.95,-17.9,,-90.33,79.81,54.0,2,47.55,Fair
0.506,-100.85,-84.16,-17.49,-5.68,-97.25,53.26,41.0,1,26.63,Poor
0.227,-95.26,,-19.02,-9.83,-91.96,71.12,61.0,1,23.81,Poor
0.064,-80.72,-63.06,-17.11,2.61,-90.26,80.88,86.0,1,40.62,Fair
0.078,-77.8,-60.02,-17.9,15.21,-98.78,51.95,49.0,1,46.64,Fair
1.342,-112.35,-93.15,-19.5,-10.0,-96.03,63.69,61.0,5,15.21,Poor
0.953,-97.77,-82.87,-13.2,-5.24,-101.92,27.96,40.0,0,38.04,Fair
1.069,-105.28,-82.99,-19.5,-4.47,-107.76,17.72,39.0,3,36.53,Fair
2.147,-113.58,-96.33,-17.5,-10.0,-98.67,66.06,71.0,3,9.72,Poor
0.105,-90.92,-72.54,-19.1,10.84,-103.67,23.75,31.0,4,42.06,Fair
0.198,-87.13,-69.27,-17.61,7.51,-101.85,28.02,32.0,0,48.56,Fair
0.498,-98.64,-78.69,-19.5,-7.12,-95.92,40.01,27.0,3,28.32,Poor
0.298,-92.82,-73.8,-18.64,8.43,-105.43,21.45,29.0,2,44.34,Fair
0.244,-95.38,-77.53,-19.42,0.97,-100.87,44.34,42.0,1,29.91,Poor
0.199,-91.31,-68.96,-19.5,1.51,-99.0,45.44,41.0,6,30.84,Poor
0.405,-98.13,-89.74,-7.35,1.17,-102.36,32.93,36.0,2,52.03,Fair
0.386,-96.15,-74.42,-19.5,1.76,-100.77,35.27,38.0,3,31.69,Poor
0.079,-84.77,-64.01,-19.5,22.3,-110.32,22.11,38.0,1,52.65,Fair
0.287,-99.33,-86.84,-11.95,0.11,-103.94,33.11,47.0,2,35.81,Fair
